,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price
167764,2023-12,GEYLANG,3 ROOM,04 TO 06,74,Model A,1983,465000
12184,2017-08,HOUGANG,4 ROOM,01 TO 03,90,Model A,2003,355000
173358,2024-04,BUKIT BATOK,5 ROOM,07 TO 09,122,Improved,1986,580000
97908,2021-05,KALLANG/WHAMPOA,2 ROOM,04 TO 06,50,Standard,1970,280000
155106,2023-06,HOUGANG,4 ROOM,04 TO 06,93,Model A,2015,550000
40973,2018-12,BUKIT PANJANG,4 ROOM,07 TO 09,91,Premium Apartment,2003,353000
5627,2017-04,TAMPINES,4 ROOM,01 TO 03,103,Model A,1984,400000
182179,2024-09,JURONG WEST,EXECUTIVE,04 TO 06,159,Maisonette,1985,805000
175110,2024-11,BUKIT PANJANG,4 ROOM,07 TO 09,95,Premium Apartment,2002,521888
94544,2021-03,YISHUN,3 ROOM,01 TO 03,67,New Generation,1985,300000
